mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__loss,param_svc__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011514568328857422,0.0038750810092165406,0.0016367912292480468,0.0005712942073574564,0.01,squared_hinge,l1,"{'svc__C': 0.01, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l1'}",0.9933184855233853,0.9955456570155902,0.9933035714285714,0.9955357142857143,0.9955357142857143,0.9946478285077951,0.001091508882594591,1
0.007889795303344726,0.0010722618781147924,0.0014638423919677735,0.0002237551645442606,0.01,squared_hinge,l2,"{'svc__C': 0.01, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l2'}",0.9933184855233853,0.9888641425389755,0.9955357142857143,0.9955357142857143,0.9933035714285714,0.9933115256124723,0.002436118158882427,7
0.02175426483154297,0.007879013975083499,0.0013841152191162109,0.0002441679391631754,0.1,squared_hinge,l1,"{'svc__C': 0.1, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l1'}",0.9933184855233853,0.9955456570155902,0.9933035714285714,0.9955357142857143,0.9955357142857143,0.9946478285077951,0.001091508882594591,1
0.007236623764038086,0.000882790236877586,0.0010119915008544923,5.9380223259570584e-05,0.1,squared_hinge,l2,"{'svc__C': 0.1, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l2'}",0.9933184855233853,0.9888641425389755,0.9933035714285714,0.9955357142857143,0.9933035714285714,0.9928650970410435,0.002178527671988932,8
0.14162721633911132,0.04356230600513146,0.0013823509216308594,0.0001066624077380478,1.0,squared_hinge,l1,"{'svc__C': 1, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l1'}",0.9933184855233853,0.9888641425389755,0.9933035714285714,0.9933035714285714,0.9955357142857143,0.9928650970410435,0.002178527671988932,8
0.012450695037841797,0.0012079339653430937,0.0011982917785644531,0.0001488374455184271,1.0,squared_hinge,l2,"{'svc__C': 1, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l2'}",0.9933184855233853,0.9888641425389755,0.9933035714285714,0.9933035714285714,0.9955357142857143,0.9928650970410435,0.002178527671988932,8
0.34502377510070803,0.07772749096011923,0.0011733531951904296,7.474482914803296e-05,10.0,squared_hinge,l1,"{'svc__C': 10, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l1'}",0.9933184855233853,0.9955456570155902,0.9933035714285714,0.9933035714285714,0.9955357142857143,0.9942013999363665,0.0010935402870847952,4
0.017707395553588866,0.003991318639988305,0.0011548519134521485,0.0001240768769214976,10.0,squared_hinge,l2,"{'svc__C': 10, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l2'}",0.9933184855233853,0.9955456570155902,0.9933035714285714,0.9933035714285714,0.9955357142857143,0.9942013999363665,0.0010935402870847952,4
0.38393416404724123,0.07098624447469734,0.0011408805847167968,0.0001574428204683627,100.0,squared_hinge,l1,"{'svc__C': 100, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l1'}",0.9933184855233853,0.9955456570155902,0.9933035714285714,0.9933035714285714,0.9955357142857143,0.9942013999363665,0.0010935402870847952,4
0.6233633995056153,0.3154649427404579,0.0008897781372070312,8.486696783895099e-05,100.0,squared_hinge,l2,"{'svc__C': 100, 'svc__loss': 'squared_hinge', 'svc__penalty': 'l2'}",0.9955456570155902,0.9955456570155902,0.9933035714285714,0.9933035714285714,0.9955357142857143,0.9946468342348075,0.0010967754975966994,3
